Method,Method sub-type,Dataset description,Dataset name,Dataset type,Source,,,,,,,,
Information,Discrete Global Grid System (DGGS) cell ID,H3 cell address,H3_Address,Character,"Uber Technologies Inc, 2020, H3: A hexagonal hierarchical geospatial indexing system [WWW Document]. GitHub Repos. URL https://github.com/uber/h3 (accessed 7.1.21).",,,,,,,,
Information,Discrete Global Grid System (DGGS) resolution,H3 cell resolution,H3_Resolution,Numeric,"Uber Technologies Inc, 2020, H3: A hexagonal hierarchical geospatial indexing system [WWW Document]. GitHub Repos. URL https://github.com/uber/h3 (accessed 7.1.21).",,,,,,,,
Information,Discrete Global Grid System (DGGS) geometry,"H3 cell polygon geometry calculated using the sf package (Well Known Text, WKT, format; EPSG4326)",H3_Geometry,Character,This study,,,,,,,,
Information,Discrete Global Grid System (DGGS) cell coordinates,Longitude of central point calculated using the sf package (coordinates reported as decimal degrees and are based on WGS84; EPSG4326),Longitude_EPSG4326,Numeric,This study,,,,,,,,
Information,Discrete Global Grid System (DGGS) cell coordinates,Latitude of central point calculated using the sf package (coordinates reported as decial degrees and are based on WGS84; EPSG4326),Latitude_EPSG4326,Numeric,This study,,,,,,,,
Information,Geography,Continent name (raster value with the largest sum of coverage fractions) ,Continent_Majority,Character,www.naturalearthdata.com,,,,,,,,
Information,Geography,Continent name (raster value with the smallest sum of coverage fractions),Continent_Minority,Character,www.naturalearthdata.com,,,,,,,,
Information,Geography,Country name (raster value with the largest sum of coverage fractions) ,Country_Majority,Character,www.naturalearthdata.com,,,,,,,,
Information,Geography,Country name (raster with the smallest sum of coverage fractions),Country_Minority,Character,www.naturalearthdata.com,,,,,,,,
Information,Geography,"Province, state, or territory name (raster value with the largest sum of coverage fractions) ",Province_Majority,Character,www.naturalearthdata.com,,,,,,,,
Information,Geography,"Province, state, or territory name (raster value with the smallest sum of coverage fractions) ",Province_Minority,Character,www.naturalearthdata.com,,,,,,,,
Geology,Geological terrane,Terrane name (raster value with the largest sum of coverage fractions),Terrane_Majority,Character,"Eglington, B., Pehrsson, S.J., Ansdell, K., Lescuyer, L., Quirt, D., Milesi, J.P., Brown, P., 2013, A domain-based digital summary of the evolution of the Palaeoproterozoic of North America and Greenland and associated unconformity-related uranium mineralization, Precambrian Research, v. 232, pp. 4-26.",,,,,,,,
Geology,Geological terrane,Terrane name (raster value with the smallest sum of coverage fractions),Terrane_Minority,Character,"Eglington, B., Pehrsson, S.J., Ansdell, K., Lescuyer, L., Quirt, D., Milesi, J.P., Brown, P., 2013, A domain-based digital summary of the evolution of the Palaeoproterozoic of North America and Greenland and associated unconformity-related uranium mineralization, Precambrian Research, v. 232, pp. 4-26.",,,,,,,,
Geology,Geological terrane,Precense or absence of H3 cells with two or more terrane names,Terrane_Contact,Character,"Eglington, B., Pehrsson, S.J., Ansdell, K., Lescuyer, L., Quirt, D., Milesi, J.P., Brown, P., 2013, A domain-based digital summary of the evolution of the Palaeoproterozoic of North America and Greenland and associated unconformity-related uranium mineralization, Precambrian Research, v. 232, pp. 4-26.",,,,,,,,
Geology,Geological terrane,Proximity to terrane boundary (pixels; calculated from raster with 0.01 degree grid),Terrane_Proximity,Numeric,"Eglington, B., Pehrsson, S.J., Ansdell, K., Lescuyer, L., Quirt, D., Milesi, J.P., Brown, P., 2013, A domain-based digital summary of the evolution of the Palaeoproterozoic of North America and Greenland and associated unconformity-related uranium mineralization, Precambrian Research, v. 232, pp. 4-26.",,,,,,,,
Geology,Geochronology,Maximum Eon name (raster value with the largest sum of coverage fraction),Geology_Eon_Maximum_Majority,Character,"National, state, provincial, and territorial geological databases; This study1",,,,,,,,
Geology,Geochronology,Maximum Eon name (raster value with the smallest sum of coverage fraction),Geology_Eon_Maximum_Minority,Character,"National, state, provincial, and territorial geological databases; This study1",,,,,,,,
Geology,Geochronology,Minimum Eon name (raster value with the largest sum of coverage fraction),Geology_Eon_Minimum_Majority,Character,"National, state, provincial, and territorial geological databases; This study1",,,,,,,,
Geology,Geochronology,Minimum Eon name (raster value with the smallest sum of coverage fraction),Geology_Eon_Minimum_Minority,Character,"National, state, provincial, and territorial geological databases; This study1",,,,,,,,
Geology,Geochronology,Maximum Era name (raster value with the largest sum of coverage fraction),Geology_Era_Maximum_Majority,Character,"National, state, provincial, and territorial geological databases; This study1",,,,,,,,
Geology,Geochronology,Maximum Era name (raster value with the smallest sum of coverage fraction),Geology_Era_Maximum_Minority,Character,"National, state, provincial, and territorial geological databases; This study1",,,,,,,,
Geology,Geochronology,Minimum Era name (raster value with the largest sum of coverage fraction),Geology_Era_Minimum_Majority,Character,"National, state, provincial, and territorial geological databases; This study1",,,,,,,,
